Id,Title,ThumbnailUrl,VideoUrl,PublicationDate,Channel,IsAnalyzed
176,"「クリスマスの星」は""夏""の大三角の中にある？冬なのに？#1",https://i.ytimg.com/vi/03tcrym0u40/sddefault.jpg,https://www.youtube.com/watch?v=03tcrym0u40,2022-12-23,ゆる天文学ラジオ,True
177,【エモい論文】ハチでサイパン島を救った知られざる英雄について #1,https://i.ytimg.com/vi/5BpEBdds8AU/sddefault.jpg,https://www.youtube.com/watch?v=5BpEBdds8AU,2022-12-23,ゆる生態学ラジオ,True
178,【非モテの生存戦略】モテない男は生き物から学ぼう！#2,https://i.ytimg.com/vi/2G76X4m5Apw/sddefault.jpg,https://www.youtube.com/watch?v=2G76X4m5Apw,2022-12-28,ゆる生態学ラジオ,True
179,【難聴・自殺・社会問題】音楽の天才が過ごした過酷すぎる人生【ベートーヴェン】#1,https://i.ytimg.com/vi/xDYa0YqPTAQ/sddefault.jpg,https://www.youtube.com/watch?v=xDYa0YqPTAQ,2022-12-23,ゆる音楽学ラジオ,True
180,サンタクロースを漢字で書ける？日本最古のサンタ文献で爆笑しよう！#1,https://i.ytimg.com/vi/tzB966BElac/sddefault.jpg,https://www.youtube.com/watch?v=tzB966BElac,2022-12-23,ゆる書道学ラジオ,True
181,酒に狂った書家は壁に文字を書きなぐるし、借金取りと飲み歩く#2,https://i.ytimg.com/vi/Hu_bM1ghryc/sddefault.jpg,https://www.youtube.com/watch?v=Hu_bM1ghryc,2022-12-26,ゆる書道学ラジオ,True
182,忌み言葉は「壁になりたいオタクの心理」【忌み言葉1】#1,https://i.ytimg.com/vi/_kznPUyxH6o/sddefault.jpg,https://www.youtube.com/watch?v=_kznPUyxH6o,2022-12-23,ゆる民俗学ラジオ,True
183,忌み言葉で分かるあの世の場所【忌み言葉2】#2,https://i.ytimg.com/vi/mwzxUbTgydo/sddefault.jpg,https://www.youtube.com/watch?v=mwzxUbTgydo,2022-12-25,ゆる民俗学ラジオ,True
184,星座の命名ひどすぎない？納得できない星座の形クイズ！ #2,https://i.ytimg.com/vi/hLO7HIF36oU/sddefault.jpg,https://www.youtube.com/watch?v=hLO7HIF36oU,2022-12-29,ゆる天文学ラジオ,True
185,第九を聴いたとき、「分かってる！」感のある一言は？【第九】#2,https://i.ytimg.com/vi/E1-b2BTS3bs/sddefault.jpg,https://www.youtube.com/watch?v=E1-b2BTS3bs,2022-12-30,ゆる音楽学ラジオ,True
186,民俗学の父・柳田國男への反撃は「餅」だった【餅が変えた民俗学】#3,https://i.ytimg.com/vi/mBeEBjYvQB4/sddefault.jpg,https://www.youtube.com/watch?v=mBeEBjYvQB4,2023-01-01,ゆる民俗学ラジオ,True
